easting northing
413.9 4081
412.5 4084.8
409.5 4086.8
404.2 4083.6
398.3 4086.8
394.4 4087.4
387.5 4091.2
384.6 4088.7
385.6 4084.8
384.1 4082.9
375.3 4084.2
372.9 4083.6
370.9 4081
370.4 4089.9
367.5 4091.2
365.5 4093.8
361.1 4093.8
360.6 4097.6
357.7 4097.6
354.3 4100.1
354.8 4106.5
353.3 4112.8
351.8 4114.1
350.4 4112.2
346.5 4112.8
343.5 4117.3
341.1 4117.3
336.2 4116.7
332.3 4119.2
328.4 4120.5
327.9 4121.8
328.4 4123.7
333.7 4123
335.2 4126.2
335.2 4128.8
338.1 4129.4
338.6 4121.8
343.5 4121.1
348.4 4118.6
352.3 4119.8
357.7 4118.6
359.7 4114.8
360.1 4111.6
358.7 4108.4
362.1 4105.2
365 4105.8
369 4100.1
370.4 4100.1
375.3 4092.5
382.6 4096.9
387.5 4096.9
389 4102
387 4105.8
385.6 4105.8
382.6 4105.2
382.2 4106.5
384.1 4109
384.1 4112.2
379.2 4112.8
378.2 4112.2
376.3 4114.8
375.3 4117.9
369.4 4119.2
360.1 4126.2
352.8 4135.1
347.9 4142.1
346 4144
345 4147.2
342.1 4150.4
342.5 4153.6
345.5 4152.9
356.2 4138.3
365 4127.5
370.4 4123.7
377.8 4123
379.2 4124.3
379.7 4126.2
379.2 4128.1
377.8 4128.8
373.4 4127.5
371.9 4128.1
371.4 4130
374.8 4132.6
374.3 4134.5
371.9 4135.8
372.4 4137.7
374.8 4138.3
374.3 4140.8
377.8 4141.5
378.7 4138.9
380.7 4137
383.1 4138.3
384.1 4137
384.1 4134.5
387 4130.7
388.5 4130.7
388 4134.5
388.5 4136.4
390.5 4138.9
389.5 4144
385.6 4144.7
384.1 4147.8
378.7 4151
376.3 4151.7
373.8 4151
372.4 4151.7
371.9 4153.6
373.4 4154.8
384.6 4154.2
385.6 4157.4
378.7 4158
374.3 4161.8
369.9 4162.5
366 4161.8
362.6 4164.4
361.6 4166.9
361.6 4170.1
359.2 4175.2
352.3 4179.7
349.9 4184.7
346 4186.7
342.5 4193.7
338.6 4196.2
331.3 4208.3
331.8 4209.6
334.2 4209.6
342.1 4198.1
344.5 4195.6
348.4 4193.7
351.3 4187.3
359.2 4181.6
365 4176.5
367.5 4168.8
368.5 4168.2
370.9 4170.1
372.4 4170.1
374.3 4166.9
382.2 4164.4
383.1 4165.7
381.7 4172.7
383.6 4174.6
383.6 4177.1
385.1 4179.7
383.1 4183.5
383.6 4186
382.2 4188.6
382.6 4189.8
385.6 4187.9
389.5 4187.3
391.4 4189.8
391 4195.6
378.7 4201.9
373.8 4205.7
369.9 4203.2
369 4204.5
368.5 4207.7
364.5 4208.9
364.5 4211.5
363.6 4214
360.6 4215.9
358.2 4220.4
357.2 4220.4
356.2 4217.8
352.8 4221
352.8 4222.3
350.9 4222.3
350.4 4219.7
348.4 4219.7
344.5 4222.3
335.2 4226.1
329.3 4229.9
329.8 4233.1
324.9 4236.9
322 4241.4
324 4244.6
323.5 4247.7
321.5 4249.6
320.1 4249
319.1 4251.6
321.5 4254.1
322.5 4256.6
325.4 4256
328.4 4249
328.4 4243.9
332.3 4241.4
332.8 4237.6
336.7 4235
338.1 4236.3
338.1 4238.2
336.7 4241.4
336.7 4244.6
338.1 4245.2
340.6 4240.7
341.1 4237.6
344 4231.2
346 4231.2
347.4 4232.5
348.4 4236.3
353.8 4233.1
354.3 4231.2
360.6 4228.7
363.1 4226.7
363.1 4224.2
364.5 4222.3
367.5 4224.2
369 4222.3
370.4 4222.3
371.4 4228.7
374.3 4227.4
373.8 4222.3
374.8 4219.1
377.8 4218.5
379.7 4212.7
382.6 4212.1
383.1 4214
381.7 4219.1
382.6 4222.3
377.8 4228.7
377.3 4235
378.7 4236.9
377.8 4239.5
375.8 4240.1
370.4 4239.5
368.5 4240.7
366.5 4244.6
355.3 4254.1
353.3 4257.3
353.8 4260.5
357.2 4259.8
359.7 4255.4
364.1 4254.1
370.4 4247.7
370.9 4244.6
375.3 4242.6
377.3 4242.6
378.2 4247.7
369 4259.8
365.5 4266.8
366.5 4273.8
365 4275.7
365.5 4284
364.5 4287.8
362.6 4291
365.5 4294.8
367.5 4295.5
368 4298.6
363.1 4299.3
363.1 4301.2
366 4305
365 4308.8
367.5 4310.1
370.4 4306.9
371.4 4306.9
371.9 4308.8
370.9 4312
368 4316.5
369.4 4317.1
373.8 4315.2
375.3 4316.5
375.3 4320.3
370.9 4321.5
368 4326.6
369 4327.9
373.4 4324.7
374.8 4326
375.3 4328.5
373.8 4330.5
370.4 4331.1
369.4 4333.6
366.5 4334.9
365.5 4340
361.6 4341.3
361.6 4343.8
358.7 4345.7
360.1 4347.6
364.1 4347
367.5 4342.5
369.4 4342.5
372.9 4340.6
374.3 4341.3
372.4 4346.4
373.4 4347
377.3 4346.4
377.8 4348.3
376.3 4350.2
376.3 4352.1
378.7 4352.7
381.7 4352.1
380.2 4355.9
380.7 4357.8
383.1 4359.1
384.6 4358.5
385.6 4354
387.5 4353.4
388.5 4354.6
388 4359.1
389 4359.7
391.4 4357.2
393.4 4357.8
393.9 4362.3
397.8 4361.6
399.8 4362.3
401.7 4364.8
402.2 4367.4
399.8 4372.5
402.2 4375
405.6 4380.1
407.1 4380.7
