id	northing	 easting	 latitude longitude	nitrogen
1	4378.006	407.0577	39.5467	  -76.0817	1.3185
2	4366.1069	411.7949	39.44	  -76.025	1.223
3	4356.0872	398.754	        39.3483	  -76.175	1.177
4	4345.2526	393.0034	39.25	  -76.24	1.083
5	4335.9021	386.9736	39.165	  -76.3083	1.132
6	4317.1902	382.2259	38.9958	  -76.36	1.0375
7	4318.0054	383.39	        39.0033	  -76.346       1.555
8	4318.0595	379.7878	39.0033	  -76.3883	1.1465
9	4298.4766	378.4738	38.8267	  -76.4	        0.7585
10	4297.3295	380.9138	38.8167	  -76.3717	0.769
11	4297.1778	372.809	        38.8142	  -76.465	0.845
12	4278.5258	376.5757	38.6467	  -76.4183	0.729
13	4278.315	378.0175	38.645	  -76.4017	0.627
14	4278.264	369.3115	38.6433	  -76.5017	0.6797
15	4268.5633	374.8181	38.5567	  -76.4367	0.6985
16	4268.503	378.7392	38.5567	  -76.3917	0.6395
17	4268.7307	369.8877	38.5575	  -76.4933	0.6805
18	4252.5274	382.7243	38.4133	  -76.3433	0.6335
19	4241.9233	386.942	        38.3183	  -76.2933	0.665
20	4221.696	392.2782	38.1367	  -76.2292	0.7155
21	4196.6614	397.3018	37.9117	  -76.1683	0.614
22	4209.0826	381.5059	38.0217	  -76.35	0.636
23	4184.2751	396.5568	37.8	  -76.175	0.482
24	4185.8904	386.0124	37.8133	  -76.295	0.497
25	4172.2756	395.0834	37.6917	  -76.19	0.4145
26	4160.7728	397.3658	37.5883	  -76.1625	0.3365
27	4149.494	397.7393	37.4867	  -76.1567	0.4
28	4141.1433	397.3446	37.4114	  -76.16	0.406
29	4171.1385	412.7071	37.6833	  -75.99	0.373
30	4181.2988	414.1357	37.775	  -75.975	0.4285
31	4159.8652	406.5567	37.5811	  -76.0583	0.3445
32	4141.0592	404.4245	37.4114	  -76.08	0.3865
33	4141.0049	409.292	        37.4114	  -76.025	0.344
34	4195.9362	430.4038	37.9083	  -75.7917	0.503
35	4183.128	425.7253	37.7925	  -75.8436	0.4175
36	4161.8457	386.5629	37.5967	  -76.285	0.403
37	4154.5385	384.5276	37.5306	  -76.3069	0.384
38	4130.3014	380.6639	37.3117	  -76.3467	0.4665
39	4122.5863	377.0053	37.2417	  -76.3867	0.336
40	4115.3575	378.0893	37.1767	  -76.3733	0.3705
41	4107.8577	385.0906	37.11     -76.2933	0.355
42	4121.7814	392.8218	37.2364	  -76.2083	0.43
43	4108.4112	400	        37.1167	  -76.1256	0.407
44	4120.7527	406.4816	37.2286	  -76.0542	0.397
45	4094.6064	410.0716	36.9933	  -76.0106	0.327
46	4101.7604	413.4822	37.0581	  -75.9731	0.3247
47	4094.1233	396.048	        36.9875	  -76.1681	0.405
48	4089.2618	408.7325	36.945	  -76.025	0.32
49	4095.3001	384.0297	36.9967	  -76.3033	0.464
