Region,Site,event,bp,rcybp,bp_indiv,rcybp_indiv,Lat,Lon,coreNo,contactNo,source,soilOrTsunami
VancouverIsland. British Columbia,Catala Lake,T1,0-295,170±40,,,49.841,127.057,lake core 3,1,53,T
VancouverIsland. British Columbia,Catala Lake,T2,331-659,500±70,,,49.841,127.056,lake core 5,2,53,T
VancouverIsland. British Columbia,Catala Lake,T3,780-1055,1000±60,,,49.843,127.053,marsh core 13,1,53,T
VancouverIsland. British Columbia,Catala Lake,T4,1085-1336,1318±58,,,49.843,127.053,lake core 3,2,53,T
VancouverIsland. British Columbia,"Deserted Lake, Hisnit Inlet, Nootka Sound",T1,316-522,400±50,,,49.767,126.507,2,1,1,S
VancouverIsland. British Columbia,"Deserted Lake, Hisnit Inlet, Nootka Sound",T5,1626-1933,1863±60,,,49.767,126.507,"2,3",2,1,S
VancouverIsland. British Columbia,"Deserted Lake, Hisnit Inlet, Nootka Sound",T6,2500-2870,2630±60,,,49.767,126.507,2,3,1,T
VancouverIsland. British Columbia,Kanim Lake,T6,2790-2946,2772±25,,,49.396,126.337,"6,7",1,54,T
VancouverIsland. British Columbia,Port Alberni,T1,0-480,270±50,,,49.253,124.826,9,2,2,S
VancouverIsland. British Columbia,Port Alberni,T3,790-1056,1010±60,,,49.253,124.826,9,3,2,T
VancouverIsland. British Columbia,Port Alberni,T4,1015-1315,1280±70,,,49.253,124.826,3,4,2,T
VancouverIsland. British Columbia,Port Alberni,T5,no date,,,,49.253,124.826,1,5,2,T
VancouverIsland. British Columbia,Port Alberni,?,no date,,,,49.253,124.826,1,6,2,T
VancouverIsland. British Columbia,Port Alberni,T6,no date,,,,49.253,124.826,1,7,2,T
VancouverIsland. British Columbia,Port Alberni,?,3360-3680,3260±70,,,49.253,124.826,1,8,2,T
VancouverIsland. British Columbia,Port Alberni,T8,3405-3700,3330±60,,,49.253,124.826,1,9,2,T
VancouverIsland. British Columbia,Port Alberni,T9,3925-4385,4410±50,,,49.253,124.826,1,10,2,T
VancouverIsland. British Columbia,Tofino,T1,0-298,177±33,0-296,160±60 min,49.122,125.870,,2,2,S
