event,age,rms2minus,rms2plus,stdev
T1,265.2338115,106.1793625,125.8673811,10.78993996
T2,480.9218028,91.59736225,96.73530501,83.45864356
T2a,547.7058082,113.5234296,121.5296471,single age
T3,796.4537685,109.686645,117.9535763,55.26635834
T3a,1065.912574,110.3020154,123.4718033,10.56698032
T4,1242.892098,105.0711592,123.7560733,42.34375997
T4a,1421.857421,123.91187,135.7678281,68.28838975
T5,1553.418823,176.7955465,170.1626393,31.7765934
T5a,1821.325865,168.6126858,158.1550194,58.40964944
T5b,2039.627274,157.6511507,156.9231134,23.55005155
T5c,2316.993913,139.0926932,149.3518041,single age
T6,2537.030519,136.8744609,147.2881601,23.08244785
T6a,2730.938545,139.0040398,149.2692438,single age
T6b,2822.282057,142.750107,170.600341,single age
T7,3028.309334,133.8990515,163.2661608,61.37961811
T7a,3156.966967,136.1657639,165.1302472,single age
T8,3443.000618,153.1159179,155.6814239,68.12099987
T8a,3599.03756,156.2638327,158.7784835,single age
T8b,3889.901703,173.0107074,193.3093602,single age
T9,4108.353422,169.5340197,190.2040686,51.98772127
T9a,4437.958881,159.5847983,168.1902926,114.5801164
T9b,4534.755008,173.6677753,194.002735,single age
T10,4769.590031,170.2045097,190.9087221,51.50842474
T10a,5061.930232,258.3331399,290.7040038,16.00927605
T10b (T10R1),5260.297897,148.410019,201.045738,37.61023266
T10c,5390.446188,151.9348375,203.6616063,single age
T10d,5734.866888,146.3013102,142.5714118,single age
T10e,undated,NA,NA,NA
T10f (T10R2),5772.196701,141.4586809,137.5975745,105.5554117
T11,5958.825089,140.8562346,134.645175,111.2011727
T12,6466.381315,146.4727964,132.7266493,102.0541789
T12a,6903.224361,126.5361454,124.7702688,single age
T13,7181.659321,121.655464,119.8176773,44.24800209
T14,7625.140205,137.7345072,137.571961,39.47059816
T14a,7942.905344,141.3525426,141.1941617,single age
T15,8173.196922,183.052037,134.8086079,94.80060685
T15a,8459.05496,186.5069497,139.4638117,single age
T16,8905.846026,160.2572193,144.6502833,61.58601045
T16a,9074.390614,165.7040471,150.6624019,single age
T17,9101.289114,258.9743117,291.4210407,38.38129601
T17a,9218.354854,210.5680448,229.3085291,39.4003317
T18,9794.935954,183.6135636,231.5803116,93.99986113
T19,10199.19452,10079.05064,10333.00988,single age
T20,10284.19452,10131.7296,10393.65479,single age
T21,10470,10352.77564,10645.14152,single age
T22,10948,10874.72278,11050.6964,single age
T23,10964,10822.34355,11081.22436,single age
T24,10942,10793.46869,11279.10763,single age
T25,11530,11289.44533,11730.86451,single age
