  longitude       latitude       slip_rate       depth       slip_rate_error
  -125.803673       46.5919991       42.1341248      0.622999966       8.18363380    
  -125.329674       45.0079994       23.2832260       1.66633332       5.90314722    
  -127.511330       49.3176689       3.89114690       3.04433322       4.83100510    
  -127.657326       49.3576660       4.24603462       1.38566673       4.82609940    
  -125.676331       46.2373352       37.7377434      0.785000026       7.75538397    
  -127.207001       49.3640022       4.70654058       8.32533360       3.94267702    
  -125.233337       44.9343300       22.4599838       3.30799985       5.82073259    
  -127.801331       49.5190010       5.38126183       1.61166668       5.01464224    
  -125.309334       44.8253326       21.7666473       1.64166677       5.80821514    
  -127.386009       49.0363350       3.49173903       1.24066663       5.58693790    
  -127.527992       49.6629982       6.09145737       8.27833271       4.06890345    
  -124.978333       45.0229988       22.1148853       8.33300018       4.77572250    
  -125.062660       44.9416656       21.8962307       6.64133310       5.14465094    
  -124.974335       44.8396645       20.9704723       8.30833340       4.81765604    
  -125.766663       46.6926689       42.5291405       1.30766666       8.22868633    
  -126.876991       49.0763359       5.00144863       8.79933262       4.41243887    
  -127.176666       49.2696686       4.44482279       7.33799982       4.28993082    
  -127.118324       49.0956688       4.00801325       5.71933365       5.01480055    
  -127.239998       49.1863365       3.94965625       5.24533319       4.87443161    
  -125.276329       45.1213341       24.0531273       2.85266685       6.05300999    
  -125.382668       45.1909981       24.8602772       1.18633330       6.33005905    
  -125.623665       46.3479958       39.0037918       1.71233332       7.81991100    
  -125.502342       45.7136688       29.6730881       1.02499998       7.03001595    
  -125.053337       44.7459984       20.6397991       6.64833307       5.13646173    
  -125.217674       44.7389984       21.0436802       3.31499982       5.77293682    
  -127.666992       49.4716682       4.73614025       2.99733353       4.83216572    
  -127.373665       49.5053368       4.87328482       8.05233288       3.92266130    
  -127.527992       49.5446663       5.09644699       6.33066702       4.28099537    
  -127.366669       49.3923340       4.33480501       6.37766647       4.23502159    
  -125.721336       46.4243317       40.3951492      0.927333355       7.88513470    
  -127.505333       49.2109985       3.68200445       1.65866661       4.98829842    
  -127.371666       49.1533356       3.59969234       2.89933324       5.25299692    
  -126.077003       47.4650002       32.5555267      0.718333304       8.49491692    
  -125.849670       46.7649994       42.6739311      0.684666634       8.26038361    
  -125.795998       46.8593330       42.6880836       1.45599997       8.29932880    
  -125.883995       46.9349976       42.1759109      0.771333277       8.32406807    
  -125.634338       46.6953316       42.3588333       2.65133333       7.95428371    
  -125.549339       46.7626648       42.4315033       3.64199996       7.71210861    
  -125.442329       46.5629997       40.3718185       4.22733355       7.11992788    
  -125.580666       46.5883331       41.6345634       2.89400005       7.79249477    
  -125.694000       46.5273323       41.4857407       1.55033338       8.02828979    
  -125.291664       44.6336670       20.4822464       1.67333329       5.77191925    
  -124.965332       44.6473351       19.8316975       8.34000015       4.75387478    
  -125.627998       46.8543282       42.7044220       3.06966662       7.92280245    
  -125.817329       47.0276680       41.5490379       1.62966669       8.40383816    
  -127.026001       49.2353325       5.03661108       9.01266670       4.06202698    
  -127.002991       49.1296692       4.60700083       7.81199980       4.47975063    
  -125.002342       47.1506653       36.7484818       9.34599972       4.63843966    
  -125.273338       47.1466675       39.2204666       6.95766640       5.97608566    
  -125.406006       47.2063332       39.2157288       5.94033289       6.71207762    
  -125.279999       47.6730003       30.5476646       9.28266621       5.17514610    
  -125.529663       46.9433289       42.2892075       4.17466688       7.62185192    
  -125.569000       47.1573334       40.2748489       4.30999994       7.67738724    
  -125.631004       47.0409966       41.6351814       3.41933346       7.94805241    
  -125.954338       47.3973351       34.7339592       1.55100000       8.55093098    
  -125.984673       47.2986641       36.4715233      0.832666636       8.53678417    
  -125.702003       47.2490044       38.7289810       3.35299993       8.15499496    
  -124.919334       46.0883331       28.5808945       9.03433323       4.68080854    
  -125.116669       47.2126656       37.1898422       8.50133324       5.16109371    
  -125.078003       47.3166656       35.5971146       9.15533352       5.05974817    
  -124.980995       46.9690056       37.3369217       9.19133282       4.53781509    
  -125.069336       47.0413322       38.1320190       8.53733349       4.95641184    
  -125.040993       44.5326691       19.4519539       6.68166685       4.94422483    
  -125.252663       46.8163338       40.8209801       6.53633308       6.23915911    
  -125.171326       47.5023346       33.8863983       9.13866711       5.34879827    
  -125.210327       47.3926697       35.6879234       8.29399967       5.65997171    
  -125.381676       47.3483315       37.3087959       6.62266684       6.55050945    
  -125.304665       47.5859985       32.2651176       8.42133331       5.56018782    
  -124.914330       46.4486694       32.3481865       9.27299976       4.45790386    
  -125.282005       44.4330025       19.5189533       1.67500007       5.75601721    
  -125.203003       44.5260010       19.8392048       3.34833336       5.70130205    
  -125.918663       47.1103325       40.1399269      0.858333349       8.44532108    
  -125.865334       47.2153320       38.7311516       1.69099998       8.51851273    
  -125.225670       46.0359993       32.1432152       5.22100019       6.36892605    
  -125.310997       46.6383324       40.0204353       5.69799995       6.47355366    
  -125.364326       46.7309990       41.1710167       5.35533333       6.73425531    
  -125.032005       45.1173363       22.8887768       7.32066679       4.99240446    
  -125.148994       45.1633301       23.8091888       5.17366648       5.62396240    
  -125.362999       46.0143318       32.7205925       3.58266640       7.09000015    
  -125.385658       45.9456673       32.0968399       3.12199998       7.16538572    
  -125.529999       45.9583321       32.5426292       1.48566663       7.51732874    
  -125.338005       45.8543358       30.7504711       3.41766667       6.91045427    
  -125.543663       46.1663322       35.9841537       2.00200009       7.55946493    
  -125.525665       46.0856667       34.5743446       1.94633329       7.50712395    
  -125.620995       46.0393372       33.6749420      0.729333341       7.54629707    
  -124.955666       44.4463348       18.8148136       8.34166622       4.43034935    
  -124.944664       45.1953316       22.6999054       8.98766613       4.67339230    
  -125.571327       45.8813324       31.8387985      0.756333351       7.43536139    
  -125.464333       45.8086662       30.7351704       1.78133333       7.22438622    
  -124.987999       46.5216675       34.1209183       8.62266636       4.68174744    
  -125.166664       46.6076660       37.4410553       7.03733301       5.50075912    
  -125.132324       46.5236664       36.3263397       7.24566650       5.37817669    
  -125.007996       45.3079987       23.3649654       7.81133318       4.91362333    
  -125.382996       47.7706718       28.3014278       9.28266621       5.16553545    
  -125.483665       47.5729980       32.8634911       6.72933340       6.39493227    
  -124.952332       45.3936653       22.9572525       8.82366657       4.54173040    
  -125.125671       45.2939949       24.2895355       5.66433334       5.60003281    
  -126.098000       48.3546638       10.1878996       8.93566608       5.36062098    
  -125.394005       46.2213326       36.3192406       3.79266667       7.25395632    
  -126.338661       48.2653313       9.96378613       4.48733330       6.47177219    
  -126.644997       48.2830009       8.35371590       1.12000000       6.59163523    
  -126.363991       48.3700066       8.66661167       5.68933344       5.94715261    
  -124.937004       45.7589989       25.2358189       8.91566658       4.74171686    
  -127.947670       49.6656685       6.66641712       1.63666666       5.66933632    
  -127.683678       49.8056679       7.49112082       8.30333328       4.72903585    
  -127.810333       49.6283379       6.07313395       3.24833322       5.23129368    
  -127.676003       49.6993370       6.54787731       6.58166647       4.67958021    
  -126.025673       47.5723305       30.5263500       1.78533328       8.33114624    
  -125.852333       47.5786629       31.5440331       3.42666650       7.92971420    
  -125.889336       48.0873299       15.4102116       7.51933289       5.76984644    
  -125.756676       48.0566673       17.5658531       8.76200008       5.44806480    
  -125.744347       47.9559975       20.0997257       7.47166681       5.85795164    
  -126.517334       48.5186653       6.48340130       5.86866617       5.35222292    
  -125.213341       45.8276672       28.9234085       4.91033363       6.12902594    
  -125.232338       41.6623344       17.2402401      0.833333313       5.66659737    
  -126.376991       47.9636650       15.8270750       1.01600003       7.48638439    
  -126.341003       48.0610008       13.9661198       2.11433339       7.35244036    
  -124.975342       46.0070000       28.2703094       8.28666687       4.95104885    
  -125.102333       45.9813347       29.5545387       6.58966684       5.61305904    
  -126.496002       48.1216621       11.6488819       1.09833336       7.11613750    
  -126.484001       48.2216644       10.1655340       2.21833324       6.91515636    
  -126.505669       48.4239998       7.27302170       4.65899992       5.85290146    
  -126.641335       48.3806648       7.28696012       2.35866666       6.32775927    
  -126.021667       48.0343323       16.0876617       5.20199966       6.56764460    
  -126.169670       48.0913353       13.7077074       4.20499992       6.80188227    
  -125.501671       47.7729988       27.9707279       8.08533382       5.79290104    
  -124.906006       45.9196663       26.6728649       9.25233364       4.66104221    
