Region,Site,Lat,Lon,coreNo,soilNo,bpCntr,bpMOE,rcybpCntr,rcybpMOE,event,subsidence,Uncertainty,source,quality,method
Vancouver Island. British Columbia,Port Al berni,49.259,124.813,5,1,,,,,T1,0.03,0.5,2,3,pm ac; pm bc (via 2.8 cm sd)
Vancouver Island. British Columbia,Port Al berni,49.257,124.821,7,1,,,,,T1,0.06,0.5,2,3,pm ac; pm bc (via 5.6 cm sd)
Vancouver Island. British Columbia,Port Al berni,49.256,124.823,8,1,,,,,T1,0.07,0.5,2,3,pm ac; pm bc (via 7 cm sd)
Vancouver Island. British Columbia,Port Al berni,49.254,124.821,9,1,240,240,270,50,T1,0.33,0.5,2,3,"pm ac; Trialochin, mp bc (via 2.5 cm sd)"
Vancouver Island. British Columbia,Port Al berni,49.254,124.838,2,1,,,,,T1,0.05,0.5,2,3,pm ac; pm bc (via 5 cm sd)
Vancouver Island. British Columbia,Port Al berni,49.253,124.814,10,1,,,,,T1,0.02,0.5,2,3,pm ac; pm bc (via 1.8 cm sd)
Vancouver Island. British Columbia,Port Al berni,49.251,124.835,3,1,,,,,T1,0.34,0.5,2,3,"pm ac; Trialochin, mp bc (via 3.5 cm sd)"
Vancouver Island. British Columbia,Port Al berni,49.25,124.833,,1,,,,,T1,0,0.5,2,2,"Trialochin, mp ac; Trialochin, mp bc"
Vancouver Island. British Columbia,Port Al berni,49.25,124.831,4,1,,,,,T1,0.02,0.5,2,3,pm ac; pm bc (via 1.8 cm sd)
Vancouver Island. British Columbia,Tofino area,49.15,125.866,,1,,,,,T1,0.55,0.25,3,1,"sd, om ac; mp bc. Foraminifera: QFA"
Vancouver Island. British Columbia,Tofino area,49.101,125.826,5,1,210.5,210.5,190,60,T1,0.55,0.55,4,2,"TS. Juncus, pm ac; Carex, rm b c"
Vancouver Island. British Columbia,Tofino area,49.098,125.853,,1,,,,,T1,0.71,0.3,"3,5",1,foraminifera: Q-mode factor analysis.
Vancouver Island. British Columbia,Tofino area,49.097,125.846,,1,,,,,T1,0.5,0.3,6,1,"pm, umm pollen ac; p, fet pollen bc"
Vancouver Island. British Columbia,Tofino area,49.095,125.844,,1,,,,,T1,0.69,0.3,6,1,"pm, lm pollen ac; p, hm pollen bc (via 3 cm sd)"
Vancouver Island. British Columbia,Tofino area,49.095,125.843,,1,,,,,T1,0.65,0.3,6,1,"pm, lmm pollen ac; p, hhm pollen bc (via ~ 2cm sd)"
Washington ,Quinault River,47.346,124.287,,1,,,,,T1,0,0.5,7,3,"Carex, rm ac; Carex, rm bc"
Washington ,Copalis River Estuary,47.127,124.162,,1,,,,,T1,0.95,0.55,8,2,"Trialochin, rm ac; Distichlis, mp bc"
Washington ,Copalis River Estuary,47.12,124.162,,1,,,,,T1,1.45,0.65,9,2,"Trialochin, pm/rm ac; Spruce, Western red cedar, p bc"
